Actual,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,All
0,832,3,1,0,3,2,3,1,5,6,2,0,1,1,0,0,7,4,3,1,6,1,3,13,4,2,1,7,1,4,1,2,1,15,1,0,13,2,0,1,2,0,17,8,7,11,0,1,1,1000
1,1,926,0,0,3,3,1,1,2,1,0,0,1,0,0,1,6,5,0,0,0,1,1,2,8,0,9,1,2,4,2,0,5,0,0,1,4,0,0,0,0,1,1,7,0,0,0,0,0,1000
2,0,0,918,0,0,27,3,1,0,1,0,0,3,0,5,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,19,5,2,0,1,1,0,0,0,0,3,1000
3,0,0,0,107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,1,3,0,1,0,1,0,0,0,0,0,2,126
4,7,5,0,0,864,9,1,0,2,0,0,1,0,0,0,2,0,0,1,0,17,2,1,18,0,0,2,8,4,4,4,1,5,0,0,18,0,0,0,0,1,7,2,6,2,1,4,0,1,1000
5,8,4,33,1,22,747,0,4,3,7,1,0,1,0,2,3,4,5,0,2,12,2,0,3,3,3,1,8,2,2,2,4,0,6,0,5,1,12,3,18,22,0,28,8,1,1,0,0,6,1000
6,0,0,1,1,0,2,835,0,9,3,13,0,5,11,1,11,1,0,1,3,10,7,0,3,1,1,0,1,0,1,13,3,0,2,9,3,2,6,0,0,8,11,1,3,0,11,5,2,0,1000
7,0,0,1,7,0,3,0,846,1,5,0,2,1,3,5,2,0,0,31,3,0,1,0,1,1,4,3,3,8,1,1,4,2,0,2,3,0,1,6,0,2,1,2,1,1,0,1,10,31,1000
8,5,3,1,4,4,5,16,1,563,1,0,1,13,22,6,1,4,4,3,3,9,8,0,4,4,3,2,0,0,6,4,2,3,1,6,4,2,2,1,6,9,2,6,1,1,3,14,4,0,767
9,11,0,3,3,1,1,1,5,1,845,6,8,9,3,0,5,6,0,5,14,4,2,0,0,1,2,0,4,3,0,2,11,1,1,2,0,2,17,5,0,1,1,1,3,4,3,1,1,1,1000
10,4,0,0,0,0,1,48,0,2,1,836,2,3,9,1,7,3,8,3,4,1,17,0,13,0,0,0,0,0,0,8,0,0,0,2,0,4,2,2,0,4,5,4,5,0,1,0,0,0,1000
11,0,1,0,8,1,1,9,15,3,12,2,776,2,5,1,2,5,1,3,5,2,2,0,2,2,1,1,4,0,0,3,8,4,1,5,1,0,19,16,3,3,12,11,6,0,29,3,5,5,1000
12,0,4,0,2,5,1,9,0,5,2,6,0,732,25,29,1,0,24,2,9,6,32,0,4,9,5,8,2,0,9,3,13,1,0,6,9,4,3,0,1,3,9,3,5,0,1,4,4,0,1000
13,0,0,0,0,0,0,7,0,18,3,4,0,3,525,4,1,5,0,4,3,7,0,0,3,3,0,0,3,0,2,3,1,1,0,14,5,9,0,0,0,7,1,12,10,0,2,16,2,0,678
14,1,0,27,2,1,6,1,1,5,0,0,0,8,21,480,1,0,2,13,6,4,2,0,1,1,1,0,4,0,1,2,1,1,1,6,7,9,3,1,2,0,2,0,0,1,1,3,0,0,629
15,1,0,2,0,3,2,69,1,7,1,9,0,0,6,8,773,1,0,3,6,7,5,0,5,1,2,1,3,0,0,14,1,0,1,6,0,4,14,4,1,13,6,6,2,1,4,3,3,1,1000
16,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,397,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,1,0,1,0,0,0,0,0,418
17,0,6,0,0,0,10,5,0,7,1,11,1,13,2,0,1,1,841,1,0,0,5,0,20,10,3,0,0,9,22,2,2,1,1,1,2,6,0,0,1,1,0,6,3,3,0,0,2,0,1000
18,1,0,0,2,0,0,1,14,4,4,1,0,11,12,13,0,1,1,886,8,2,0,0,0,1,4,0,1,0,2,8,4,0,0,4,1,1,4,2,0,2,0,0,0,0,0,0,2,3,1000
19,0,0,1,2,0,1,5,7,2,26,0,2,2,17,7,4,0,0,35,828,2,2,0,0,0,1,0,2,0,0,3,6,3,1,7,4,1,8,3,0,0,4,0,12,0,1,1,0,0,1000
20,7,2,1,1,12,11,6,0,17,5,1,0,4,6,2,5,4,0,1,1,767,2,2,7,2,0,4,7,7,14,6,2,2,1,4,5,5,2,1,1,35,12,3,4,2,6,6,5,0,1000
21,6,3,5,2,3,5,9,0,1,13,2,7,4,2,0,4,6,6,1,2,6,775,0,4,3,1,1,38,6,1,5,3,1,0,5,3,2,30,2,4,4,6,1,9,1,4,2,1,1,1000
22,1,0,0,1,0,1,1,3,5,0,0,1,0,2,0,0,1,1,0,0,4,0,237,32,2,0,2,2,1,0,0,3,1,6,0,0,2,0,0,0,1,3,2,0,6,7,0,8,0,336
23,2,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,2,0,5,367,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,8,0,1,1,0,0,1,0,399
